location,name,freq,weighting,n_factors,date,ret
chn,accruals,daily,vw_cap,5,1996-08-01,-0.012094172625395467
chn,accruals,daily,vw_cap,5,1996-08-02,0.010674166610908944
chn,accruals,daily,vw_cap,5,1996-08-05,-0.005825447519585742
chn,accruals,daily,vw_cap,5,1996-08-06,0.0043184542334366305
chn,accruals,daily,vw_cap,5,1996-08-07,-0.007575039491273708
chn,accruals,daily,vw_cap,5,1996-08-08,0.011907806309360235
chn,accruals,daily,vw_cap,5,1996-08-09,-0.0010110277268837052
chn,accruals,daily,vw_cap,5,1996-08-12,0.005828171451150962
chn,accruals,daily,vw_cap,5,1996-08-13,-0.0036423337334969843
chn,accruals,daily,vw_cap,5,1996-08-14,0.0031925460849454414
chn,accruals,daily,vw_cap,5,1996-08-15,0.0010722983579148065
chn,accruals,daily,vw_cap,5,1996-08-16,0.006830044211112135
chn,accruals,daily,vw_cap,5,1996-08-19,-0.003621009411155539
chn,accruals,daily,vw_cap,5,1996-08-20,0.013091569629194638
chn,accruals,daily,vw_cap,5,1996-08-21,0.005558954710160944
chn,accruals,daily,vw_cap,5,1996-08-22,0.005680358760973119
chn,accruals,daily,vw_cap,5,1996-08-23,0.007530690408218019
chn,accruals,daily,vw_cap,5,1996-08-26,0.0074849407341730885
chn,accruals,daily,vw_cap,5,1996-08-27,-0.0011396832593686794
chn,accruals,daily,vw_cap,5,1996-08-28,-0.009059247965121139
chn,accruals,daily,vw_cap,5,1996-08-29,-0.006786831350567052
chn,accruals,daily,vw_cap,5,1996-08-30,0.0010081528145225247
chn,accruals,daily,vw_cap,2,1996-10-01,0.000014102301700056717
chn,accruals,daily,vw_cap,5,1996-10-02,6.699731003184554e-6
chn,accruals,daily,vw_cap,5,1996-10-03,0.018444508003249253
chn,accruals,daily,vw_cap,5,1996-10-04,-0.01235863829420816
chn,accruals,daily,vw_cap,5,1996-10-07,-0.01455066003050338
chn,accruals,daily,vw_cap,5,1996-10-08,-0.03538604294350576
chn,accruals,daily,vw_cap,5,1996-10-09,0.01009470553680159
chn,accruals,daily,vw_cap,5,1996-10-10,0.010488184628156946
chn,accruals,daily,vw_cap,5,1996-10-11,0.009963355925153699
chn,accruals,daily,vw_cap,5,1996-10-14,0.007477954330384798
chn,accruals,daily,vw_cap,5,1996-10-15,0.0029923588647413376
chn,accruals,daily,vw_cap,5,1996-10-16,0.02060615831198579
chn,accruals,daily,vw_cap,5,1996-10-17,-0.01114387648949717
chn,accruals,daily,vw_cap,5,1996-10-18,0.011325897285209306
chn,accruals,daily,vw_cap,5,1996-10-21,-0.004172410817668224
chn,accruals,daily,vw_cap,5,1996-10-22,-0.0008515865810039714
chn,accruals,daily,vw_cap,5,1996-10-23,0.003803487408118271
chn,accruals,daily,vw_cap,5,1996-10-24,0.0072353317431547255
chn,accruals,daily,vw_cap,5,1996-10-25,0.006600024774460603
chn,accruals,daily,vw_cap,5,1996-10-28,-0.007344309795564536
chn,accruals,daily,vw_cap,5,1996-10-29,0.0026565806583899983
chn,accruals,daily,vw_cap,5,1996-10-30,-0.026709231698815828
chn,accruals,daily,vw_cap,5,1996-10-31,-0.019400644385634686
chn,accruals,daily,vw_cap,5,1996-11-01,-0.034420574090508284
chn,accruals,daily,vw_cap,5,1996-11-04,-0.013822753037267054
chn,accruals,daily,vw_cap,5,1996-11-05,0.014285296959337048
chn,accruals,daily,vw_cap,5,1996-11-06,0.006387864498777299
chn,accruals,daily,vw_cap,5,1996-11-07,0.012551391890894353
chn,accruals,daily,vw_cap,5,1996-11-08,0.00459003435693125
chn,accruals,daily,vw_cap,5,1996-11-11,-0.016509603626549678
chn,accruals,daily,vw_cap,5,1996-11-12,-0.015393676270291954
chn,accruals,daily,vw_cap,5,1996-11-13,0.008807758839187519
chn,accruals,daily,vw_cap,5,1996-11-14,0.005344441915922983
chn,accruals,daily,vw_cap,5,1996-11-15,-0.0008045135187743578
chn,accruals,daily,vw_cap,5,1996-11-18,0.006788127017361539
chn,accruals,daily,vw_cap,5,1996-11-19,-0.008087604871255708
chn,accruals,daily,vw_cap,5,1996-11-20,-0.000506382743589958
chn,accruals,daily,vw_cap,5,1996-11-21,-0.017713488901646687
chn,accruals,daily,vw_cap,5,1996-11-22,-0.02085815178282372
chn,accruals,daily,vw_cap,5,1996-11-25,0.0017934566606694472
chn,accruals,daily,vw_cap,5,1996-11-26,-0.0038578475513389083
chn,accruals,daily,vw_cap,5,1996-11-27,0.0019415401049909162
chn,accruals,daily,vw_cap,5,1996-11-28,0.004719783635508722
chn,accruals,daily,vw_cap,5,1996-11-29,0.0038107536640679673
chn,accruals,daily,vw_cap,5,1996-12-02,0.022918302315217937
chn,accruals,daily,vw_cap,5,1996-12-03,-0.009606583575676658
chn,accruals,daily,vw_cap,5,1996-12-04,0.002432208064457978
chn,accruals,daily,vw_cap,5,1996-12-05,0.00984055065447311
chn,accruals,daily,vw_cap,5,1996-12-06,-0.004508644470248101
chn,accruals,daily,vw_cap,5,1996-12-09,-0.0071002543566517865
chn,accruals,daily,vw_cap,5,1996-12-10,0.0056553368088033875
chn,accruals,daily,vw_cap,5,1996-12-11,0.007067846455503931
chn,accruals,daily,vw_cap,5,1996-12-12,-0.01967713545957956
chn,accruals,daily,vw_cap,5,1996-12-13,-0.0049032864286850265
chn,accruals,daily,vw_cap,5,1996-12-16,0.0009364417851531303
chn,accruals,daily,vw_cap,5,1996-12-17,0.00019480700407915053
chn,accruals,daily,vw_cap,5,1996-12-18,0.01615122060774731
chn,accruals,daily,vw_cap,5,1996-12-19,0.00729877528370067
chn,accruals,daily,vw_cap,5,1996-12-20,0.018637708996260167
chn,accruals,daily,vw_cap,5,1996-12-23,0.026610675194746303
chn,accruals,daily,vw_cap,5,1996-12-24,0.013732932547456672
chn,accruals,daily,vw_cap,5,1996-12-25,-0.00029265741919155044
chn,accruals,daily,vw_cap,5,1996-12-26,0.01119479322386269
chn,accruals,daily,vw_cap,5,1996-12-27,-0.02413466830233758
chn,accruals,daily,vw_cap,5,1996-12-30,-0.020587478071780203
chn,accruals,daily,vw_cap,5,1996-12-31,0.007767961343787896
chn,accruals,daily,vw_cap,1,1997-01-01,8.377178912878178e-6
chn,accruals,daily,vw_cap,5,1997-01-02,-0.006341168605090389
chn,accruals,daily,vw_cap,5,1997-01-03,-0.0037225571147150487
chn,accruals,daily,vw_cap,5,1997-01-06,0.014241618862256566
chn,accruals,daily,vw_cap,5,1997-01-07,-0.004934283412234866
chn,accruals,daily,vw_cap,5,1997-01-08,-0.0016484230143329719
chn,accruals,daily,vw_cap,5,1997-01-09,0.0010545489767389716
chn,accruals,daily,vw_cap,5,1997-01-10,0.0007460603627495628
chn,accruals,daily,vw_cap,5,1997-01-13,0.001610329034258489
chn,accruals,daily,vw_cap,5,1997-01-14,-0.02597672183543347
chn,accruals,daily,vw_cap,5,1997-01-15,0.001572689381619946
chn,accruals,daily,vw_cap,5,1997-01-16,-0.0001821031960230023
chn,accruals,daily,vw_cap,5,1997-01-17,0.0027437724593138086
chn,accruals,daily,vw_cap,5,1997-01-20,0.0035455778219662505
chn,accruals,daily,vw_cap,5,1997-01-21,0.004229843043733849
chn,accruals,daily,vw_cap,5,1997-01-22,0.0006328654157785957
chn,accruals,daily,vw_cap,5,1997-01-23,-0.000018918103855464912
chn,accruals,daily,vw_cap,5,1997-01-24,0.0008078326271776643
chn,accruals,daily,vw_cap,5,1997-01-27,-0.0016664083453698155
chn,accruals,daily,vw_cap,5,1997-01-28,-0.0017232268773889545
chn,accruals,daily,vw_cap,5,1997-01-29,0.00504526807644025
